city, cleaned_city
iaqornat, Niaqornat
arrandera, Narrandera
ikunau, Nikunau
ienburg Weser, Nienburg Weser
usawiru, Nusawiru
ew Smyrna Beach, New Smyrna Beach
orth Shore, North Shore
ikolayevsk-na-Amure Airport, Nikolayevsk-na-Amure Airport
orwich, Norwich
orrkoeping, Norrkoeping
oervenich, Noervenich
ema, Nema
evers, Nevers
amest, Namest
atal, Natal
izhnevartovsk, Nizhnevartovsk
ew Orleans, New Orleans
avegantes, Navegantes
ew Bern, New Bern
agpur, Nagpur
ain, Nain
ormanton, Normanton
zagi, Nzagi
onouti, Onouti
ashua, Nashua
ew Philadelpha, New Philadelphia
agaur, Nagaur
asiriyah, Nasiriyah
aracoorte, Naracoorte
iaqornaarsuk, Niaqornaarsuk
amlea, Namlea
apuka, Napuka
ovgorod, Novgorod
eryungri, Neryungri
ewnan, Newnan
ipawin, Nipawin
ikolskoye, Nikolskoye
anaimo, Nanaimo
orderney, Norderney
euburg, Neuburg
dola, Ndola
ampula, Nampula
osara Beach, Nosara Beach
hatrang, Nhatrang
amsang, Namsang
ewark, Newark
antucket, Nantucket
euquen, Neuquen
akhon Phanom, Nakhon Phanom
eerlerit Inaat, Nerlerit Inaat
orth Platte, North Platte
ecochea, Necochea
uquí, Nuquí
amangan, Namangan
yingchi, Nyingchi
orth Connel, North Connel
ull, Null
agan Raya, Nagan Raya
enana, Nenana
inglang, Ninglang
eubrandenburg, Neubrandenburg
ew Richmond, New Richmond
uernberg, Nuernberg
ewquai, Newquai
iort, Niort
ancy, Nancy
aples, Naples
orth Caicos, North Caicos
uevo Laredo, Nuevo Laredo
egage, Negage
antes, Nantes
ainital, Nainital
anchang, Nanchang
ewburgh, Newburgh
awabshah, Nawabshah
ovosibirsk, Novosibirsk
aryan-Mar, Naryan-Mar
orth Spirit Lake, North Spirit Lake
amsos, Namsos
alchik, Nalchik
epalgunj, Nepalgunj
euchatel, Neuchatel
aypyidaw, Naypyidaw
izhnekamsk, Nizhnekamsk
ondalton, Nondalton
egril, Negril
ieuw ickerie, Nieuw Nickerie
y-Alesund, Ny-Alesund
amur, Namur
ewtownards, Newtownards
gawa, Ngawa
eodesha, Neodesha
ovi Ligure, Novi Ligure
ovi Sad, Novi Sad
ortheim, Northeim
yurba, Nyurba
ukutavake, Nukutavake
icoya, Nicoya
gau, Ngaou
arrabri, Narrabri
atuashish, Natuashish
annhausen, Nannhausen
